Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
0.01,3.384603188e-11,-22.48535141,-3.54E-11,22.48535793,1.821836217e-18,1.1034962769e-7,4.959548870e-11,22.48535793,-4.80E-11,-22.48535134,-2.97E-18,-6.44E-07,-6.91E-19,1.1034930308e-7,1.130284031e-18,-6.44E-07,-7.92E-18,8.9319874997e-6
0.0105,1.3923040849e-4,-21.48692148,-1.39E-04,21.48692833,1.437201145e-10,8.5295456457e-8,-1.39E-04,21.48692833,1.3923078106e-4,-21.48692142,-1.44E-10,-6.46E-07,1.437201145e-10,8.5295456457e-8,-1.44E-10,-6.46E-07,-2.43E-15,9.3785876982e-6
0.011,2.5416934841e-4,-20.57337544,-2.54E-04,20.57338262,1.621222187e-10,6.1539943225e-8,-2.54E-04,20.57338262,2.5417010318e-4,-20.57337538,-1.62E-10,-6.49E-07,1.621222187e-10,6.1539943225e-8,-1.62E-10,-6.49E-07,-3.53E-15,9.8251879081e-6
0.0115,3.4925516515e-4,-19.73433145,-3.49E-04,19.73433896,1.789060687e-10,3.8924197059e-8,-3.49E-04,19.73433896,3.4925626760e-4,-19.73433139,-1.79E-10,-6.53E-07,1.789060686e-10,3.8924197059e-8,-1.79E-10,-6.53E-07,-3.53E-15,1.0271788130e-5
0.012,4.2800887055e-4,-18.96103284,-4.28E-04,18.96104068,1.942452535e-10,1.7314242190e-8,-4.28E-04,18.96104068,4.2801028856e-4,-18.96103278,-1.94E-10,-6.58E-07,1.942452535e-10,1.7314242190e-8,-1.94E-10,-6.58E-07,-3.53E-15,1.0718388364e-5
0.0125,4.9324823728e-4,-18.24604349,-4.93E-04,18.24605166,2.082898103e-10,-3.40E-09,-4.93E-04,18.24605166,4.9324994481e-4,-18.24604344,-2.08E-10,-6.64E-07,2.082898103e-10,-3.40E-09,-2.08E-10,-6.64E-07,-3.53E-15,1.1164988611e-5
0.013,5.4724546988e-4,-17.58300797,-5.47E-04,17.58301646,2.211700497e-10,-2.33E-08,-5.47E-04,17.58301646,5.4724743801e-4,-17.58300791,-2.21E-10,-6.71E-07,2.211700498e-10,-2.33E-08,-2.21E-10,-6.71E-07,-3.53E-15,1.1611588872e-5
0.0135,5.9184608902e-4,-16.96646206,-5.92E-04,16.96647088,2.329996589e-10,-4.25E-08,-5.92E-04,16.96647088,5.9184830077e-4,-16.96646201,-2.33E-10,-6.78E-07,2.329996590e-10,-4.25E-08,-2.33E-10,-6.78E-07,-3.53E-15,1.2058189147e-5
0.014,6.2855871922e-4,-16.39168187,-6.29E-04,16.39169102,2.438782423e-10,-6.11E-08,-6.29E-04,16.39169102,6.2856115203e-4,-16.39168181,-2.44E-10,-6.86E-07,2.438782423e-10,-6.11E-08,-2.44E-10,-6.86E-07,-3.53E-15,1.2504789436e-5
0.0145,6.5862409935e-4,-15.85456253,-6.59E-04,15.85457201,2.538934243e-10,-7.91E-08,-6.59E-04,15.85457201,6.5862673843e-4,-15.85456248,-2.54E-10,-6.95E-07,2.538934243e-10,-7.91E-08,-2.54E-10,-6.95E-07,-3.53E-15,1.2951389740e-5
0.015,6.8306835704e-4,-15.35152004,-6.83E-04,15.35152985,2.631225807e-10,-9.66E-08,-6.83E-04,15.35152985,6.8307118212e-4,-15.35151999,-2.63E-10,-7.04E-07,2.631225808e-10,-9.66E-08,-2.63E-10,-7.04E-07,-3.53E-15,1.3397990060e-5
