Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.01,-6.18E-09,-64.17284631,5.265812164e-17,-1.12E-07,1.601891814e-16,-1.12E-07,4.044561667e-18,1.6355446244e-6
0.0105,-2.91E-08,-60.88226822,1.537580375e-10,-1.18E-07,1.537580375e-10,-1.18E-07,-1.70E-15,1.7173218983e-6
0.011,-2.63E-08,-57.91272222,1.453292825e-10,-1.24E-07,1.453292825e-10,-1.24E-07,-3.14E-15,1.7990991723e-6
0.0115,-2.39E-08,-55.21940952,1.377060001e-10,-1.30E-07,1.377060001e-10,-1.30E-07,-3.14E-15,1.8808764464e-6
0.012,-2.18E-08,-52.76549945,1.307805794e-10,-1.36E-07,1.307805794e-10,-1.36E-07,-3.14E-15,1.9626537205e-6
0.0125,-2.00E-08,-50.5204303,1.244637257e-10,-1.42E-07,1.244637257e-10,-1.42E-07,-3.14E-15,2.0444309948e-6
0.013,-1.84E-08,-48.45863,1.186807259e-10,-1.48E-07,1.186807259e-10,-1.48E-07,-3.14E-15,2.1262082691e-6
0.0135,-1.70E-08,-46.55853773,1.133685865e-10,-1.54E-07,1.133685865e-10,-1.54E-07,-3.14E-15,2.2079855434e-6
0.014,-1.57E-08,-44.8018471,1.084738235e-10,-1.59E-07,1.084738235e-10,-1.59E-07,-3.14E-15,2.2897628179e-6
0.0145,-1.46E-08,-43.17291444,1.039507303e-10,-1.65E-07,1.039507303e-10,-1.65E-07,-3.14E-15,2.3715400925e-6
0.015,-1.36E-08,-41.65829168,9.976002022e-11,-1.71E-07,9.976002022e-11,-1.71E-07,-3.14E-15,2.4533173671e-6
0.0155,-1.27E-08,-40.24635418,9.586773156e-11,-1.77E-07,9.586773156e-11,-1.77E-07,-3.14E-15,2.5350946419e-6
0.016,-1.19E-08,-38.92700184,9.224435649e-11,-1.83E-07,9.224435649e-11,-1.83E-07,-3.14E-15,2.6168719167e-6
0.0165,-1.11E-08,-37.69141709,8.886413812e-11,-1.89E-07,8.886413812e-11,-1.89E-07,-3.14E-15,2.6986491917e-6
0.017,-1.05E-08,-36.53186762,8.570448812e-11,-1.94E-07,8.570448812e-11,-1.94E-07,-3.14E-15,2.7804264667e-6
0.0175,-9.85E-09,-35.44154434,8.274551460e-11,-2.00E-07,8.274551460e-11,-2.00E-07,-3.14E-15,2.8622037419e-6
0.018,-9.29E-09,-34.41442762,7.996963513e-11,-2.06E-07,7.996963513e-11,-2.06E-07,-3.14E-15,2.9439810172e-6
0.0185,-8.77E-09,-33.44517612,7.736124751e-11,-2.12E-07,7.736124751e-11,-2.12E-07,-3.14E-15,3.0257582926e-6
