Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
8.505000000000001,0.005741936,0.02608896,0.956311629,-0.291126199,0.956311629,-0.291126199,0.009769159,0.024862968
8.505020000000000,0.00573353,0.026067873,0.956305337,-0.291148921,0.956305337,-0.291148921,0.00976556,0.024840314
8.505040000000001,0.005725103,0.026046737,0.95629903,-0.291171693,0.95629903,-0.291171693,0.009761952,0.024817607
8.505060000000000,0.005716656,0.026025552,0.956292707,-0.291194517,0.956292707,-0.291194517,0.009758334,0.024794847
8.505080000000001,0.005708187,0.026004319,0.956286369,-0.291217392,0.956286369,-0.291217392,0.009754706,0.024772034
8.505100000000001,0.005699698,0.025983035,0.956280016,-0.291240319,0.956280016,-0.291240319,0.009751069,0.024749168
8.505120000000000,0.005691188,0.025961703,0.956273647,-0.291263297,0.956273647,-0.291263297,0.009747422,0.024726249
8.505140000000001,0.005682657,0.025940321,0.956267263,-0.291286327,0.956267263,-0.291286327,0.009743765,0.024703276
8.505160000000000,0.005674105,0.025918889,0.956260863,-0.29130941,0.956260863,-0.29130941,0.009740099,0.024680249
8.505180000000001,0.005665532,0.025897407,0.956254448,-0.291332544,0.956254448,-0.291332544,0.009736422,0.024657169
8.505200000000000,0.005656938,0.025875875,0.956248017,-0.291355731,0.956248017,-0.291355731,0.009732736,0.024634034
8.505220000000001,0.005648322,0.025854293,0.95624157,-0.291378971,0.95624157,-0.291378971,0.00972904,0.024610846
8.505240000000001,0.005639685,0.025832661,0.956235108,-0.291402263,0.956235108,-0.291402263,0.009725334,0.024587602
8.505260000000000,0.005631026,0.025810977,0.956228629,-0.291425608,0.956228629,-0.291425608,0.009721619,0.024564304
8.505280000000001,0.005622346,0.025789243,0.956222135,-0.291449007,0.956222135,-0.291449007,0.009717893,0.024540952
8.505300000000000,0.005613645,0.025767458,0.956215625,-0.291472458,0.956215625,-0.291472458,0.009714157,0.024517544
8.505320000000001,0.005604921,0.025745622,0.956209099,-0.291495964,0.956209099,-0.291495964,0.009710411,0.024494081
8.505340000000000,0.005596176,0.025723734,0.956202557,-0.291519523,0.956202557,-0.291519523,0.009706655,0.024470562
8.505360000000001,0.005587409,0.025701795,0.956195998,-0.291543136,0.956195998,-0.291543136,0.009702889,0.024446988
8.505380000000001,0.00557862,0.025679804,0.956189424,-0.291566803,0.956189424,-0.291566803,0.009699113,0.024423358
