Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
7.050000000000001,0.032335142,0.056781434,0.87314975,-0.483052608,0.87314975,-0.483052608,0.03092334,0.057562485
7.050100000000000,0.032335815,0.056779418,0.873145111,-0.483061178,0.873145111,-0.483061178,0.030922397,0.057561383
7.050200000000000,0.032336486,0.056777394,0.87314047,-0.483069756,0.87314047,-0.483069756,0.030921447,0.057560275
7.050300000000000,0.032337157,0.056775361,0.873135825,-0.48307834,0.873135825,-0.48307834,0.030920492,0.057559161
7.050400000000001,0.032337827,0.056773321,0.873131176,-0.483086932,0.873131176,-0.483086932,0.030919531,0.057558042
7.050500000000000,0.032338497,0.056771271,0.873126524,-0.48309553,0.873126524,-0.48309553,0.030918564,0.057556918
7.050600000000000,0.032339166,0.056769214,0.873121869,-0.483104136,0.873121869,-0.483104136,0.030917591,0.057555788
7.050700000000001,0.032339834,0.056767148,0.87311721,-0.483112749,0.87311721,-0.483112749,0.030916612,0.057554652
7.050800000000001,0.032340501,0.056765073,0.873112547,-0.483121369,0.873112547,-0.483121369,0.030915628,0.057553511
7.050900000000000,0.032341167,0.05676299,0.873107881,-0.483129997,0.873107881,-0.483129997,0.030914638,0.057552364
7.051000000000000,0.032341833,0.056760899,0.873103212,-0.483138632,0.873103212,-0.483138632,0.030913642,0.057551212
7.051100000000001,0.032342498,0.056758798,0.873098539,-0.483147274,0.873098539,-0.483147274,0.030912639,0.057550054
7.051200000000001,0.032343162,0.056756689,0.873093862,-0.483155924,0.873093862,-0.483155924,0.030911631,0.05754889
7.051300000000000,0.032343825,0.056754572,0.873089182,-0.483164581,0.873089182,-0.483164581,0.030910617,0.05754772
7.051400000000000,0.032344488,0.056752446,0.873084498,-0.483173245,0.873084498,-0.483173245,0.030909597,0.057546545
7.051500000000001,0.03234515,0.056750311,0.87307981,-0.483181917,0.87307981,-0.483181917,0.030908571,0.057545364
7.051600000000001,0.032345811,0.056748167,0.873075119,-0.483190596,0.873075119,-0.483190596,0.030907539,0.057544177
7.051700000000000,0.032346471,0.056746015,0.873070424,-0.483199283,0.873070424,-0.483199283,0.0309065,0.057542984
7.051800000000000,0.032347131,0.056743853,0.873065726,-0.483207978,0.873065726,-0.483207978,0.030905456,0.057541785
7.051900000000001,0.032347789,0.056741683,0.873061024,-0.48321668,0.873061024,-0.48321668,0.030904405,0.057540581
7.052000000000000,0.032348447,0.056739503,0.873056318,-0.48322539,0.873056318,-0.48322539,0.030903348,0.05753937
7.052100000000000,0.032349105,0.056737315,0.873051608,-0.483234107,0.873051608,-0.483234107,0.030902285,0.057538154
7.052200000000000,0.032349761,0.056735118,0.873046894,-0.483242833,0.873046894,-0.483242833,0.030901216,0.057536932
7.052300000000001,0.032350416,0.056732911,0.873042177,-0.483251566,0.873042177,-0.483251566,0.03090014,0.057535703
7.052400000000000,0.032351071,0.056730696,0.873037456,-0.483260306,0.873037456,-0.483260306,0.030899058,0.057534469
7.052500000000000,0.032351725,0.056728471,0.873032731,-0.483269055,0.873032731,-0.483269055,0.03089797,0.057533229
7.052600000000001,0.032352378,0.056726237,0.873028003,-0.483277812,0.873028003,-0.483277812,0.030896875,0.057531982
7.052700000000001,0.032353031,0.056723994,0.87302327,-0.483286576,0.87302327,-0.483286576,0.030895774,0.057530729
