Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
4.1,0.012091609,0.037359337,0.953057217,-0.300233267,0.953057217,-0.300233267,0.011504613,0.037544253
4.1001,0.01209194,0.0373576,0.953054246,-0.3002429,0.953054246,-0.3002429,0.011504076,0.037542796
4.1002,0.012092269,0.037355853,0.953051272,-0.300252542,0.953051272,-0.300252542,0.011503536,0.03754133
4.1003,0.012092598,0.037354096,0.953048297,-0.300262193,0.953048297,-0.300262193,0.011502991,0.037539855
4.1004,0.012092926,0.037352329,0.953045318,-0.300271853,0.953045318,-0.300271853,0.011502443,0.03753837
4.1005,0.012093252,0.037350551,0.953042337,-0.300281523,0.953042337,-0.300281523,0.01150189,0.037536877
4.1006,0.012093578,0.037348764,0.953039354,-0.300291201,0.953039354,-0.300291201,0.011501333,0.037535374
4.1007,0.012093903,0.037346966,0.953036368,-0.300300888,0.953036368,-0.300300888,0.011500772,0.037533862
4.1008,0.012094226,0.037345158,0.953033379,-0.300310585,0.953033379,-0.300310585,0.011500207,0.037532341
4.1009,0.012094549,0.037343339,0.953030388,-0.300320291,0.953030388,-0.300320291,0.011499637,0.037530811
4.101,0.012094871,0.03734151,0.953027394,-0.300330006,0.953027394,-0.300330006,0.011499063,0.037529271
4.1011,0.012095192,0.037339671,0.953024397,-0.30033973,0.953024397,-0.30033973,0.011498485,0.037527722
4.1012,0.012095512,0.037337821,0.953021398,-0.300349464,0.953021398,-0.300349464,0.011497902,0.037526163
4.1013,0.012095831,0.03733596,0.953018396,-0.300359208,0.953018396,-0.300359208,0.011497316,0.037524595
4.1014,0.012096148,0.037334089,0.953015391,-0.300368961,0.953015391,-0.300368961,0.011496724,0.037523017
4.1015,0.012096465,0.037332207,0.953012384,-0.300378723,0.953012384,-0.300378723,0.011496129,0.03752143
4.1016,0.012096781,0.037330315,0.953009374,-0.300388495,0.953009374,-0.300388495,0.011495529,0.037519833
4.1017,0.012097096,0.037328411,0.953006361,-0.300398277,0.953006361,-0.300398277,0.011494924,0.037518226
4.1018,0.01209741,0.037326497,0.953003346,-0.300408069,0.953003346,-0.300408069,0.011494316,0.037516609
4.1019,0.012097722,0.037324572,0.953000327,-0.30041787,0.953000327,-0.30041787,0.011493702,0.037514983
4.102,0.012098034,0.037322635,0.952997306,-0.300427682,0.952997306,-0.300427682,0.011493084,0.037513347
4.1021,0.012098345,0.037320688,0.952994282,-0.300437503,0.952994282,-0.300437503,0.011492462,0.037511701
4.1022,0.012098654,0.03731873,0.952991256,-0.300447334,0.952991256,-0.300447334,0.011491835,0.037510045
4.1023,0.012098963,0.03731676,0.952988226,-0.300457175,0.952988226,-0.300457175,0.011491203,0.037508378
4.1024,0.01209927,0.037314779,0.952985194,-0.300467027,0.952985194,-0.300467027,0.011490567,0.037506702
4.1025,0.012099577,0.037312787,0.952982159,-0.300476888,0.952982159,-0.300476888,0.011489926,0.037505016
4.1026,0.012099882,0.037310783,0.952979121,-0.30048676,0.952979121,-0.30048676,0.011489281,0.037503319
4.1027,0.012100186,0.037308768,0.95297608,-0.300496642,0.95297608,-0.300496642,0.011488631,0.037501612
4.1028,0.012100489,0.037306742,0.952973036,-0.300506535,0.952973036,-0.300506535,0.011487976,0.037499895
4.1029,0.012100791,0.037304704,0.952969989,-0.300516437,0.952969989,-0.300516437,0.011487316,0.037498167
4.103,0.012101092,0.037302655,0.952966939,-0.300526351,0.952966939,-0.300526351,0.011486652,0.03749643
4.1031,0.012101392,0.037300593,0.952963886,-0.300536274,0.952963886,-0.300536274,0.011485983,0.037494681
4.1032,0.012101691,0.03729852,0.952960831,-0.300546209,0.952960831,-0.300546209,0.011485309,0.037492922
4.1033,0.012101988,0.037296435,0.952957772,-0.300556154,0.952957772,-0.300556154,0.01148463,0.037491152
4.1034,0.012102285,0.037294339,0.95295471,-0.300566109,0.95295471,-0.300566109,0.011483946,0.037489372
4.1035,0.01210258,0.03729223,0.952951645,-0.300576076,0.952951645,-0.300576076,0.011483257,0.037487581
4.1036,0.012102874,0.03729011,0.952948578,-0.300586053,0.952948578,-0.300586053,0.011482564,0.03748578
4.1037,0.012103167,0.037287977,0.952945507,-0.300596042,0.952945507,-0.300596042,0.011481865,0.037483967
4.1038,0.012103459,0.037285832,0.952942433,-0.300606041,0.952942433,-0.300606041,0.011481161,0.037482144
4.1039,0.01210375,0.037283675,0.952939356,-0.300616051,0.952939356,-0.300616051,0.011480453,0.037480309
4.104,0.012104039,0.037281506,0.952936275,-0.300626072,0.952936275,-0.300626072,0.011479739,0.037478464
4.1041,0.012104328,0.037279324,0.952933192,-0.300636105,0.952933192,-0.300636105,0.01147902,0.037476607
4.1042,0.012104615,0.03727713,0.952930106,-0.300646149,0.952930106,-0.300646149,0.011478296,0.037474739
4.1043,0.012104901,0.037274924,0.952927016,-0.300656204,0.952927016,-0.300656204,0.011477567,0.037472861
4.1044,0.012105186,0.037272705,0.952923923,-0.30066627,0.952923923,-0.30066627,0.011476833,0.037470971
4.1045,0.012105469,0.037270473,0.952920827,-0.300676348,0.952920827,-0.300676348,0.011476093,0.037469069
4.1046,0.012105752,0.037268229,0.952917727,-0.300686437,0.952917727,-0.300686437,0.011475349,0.037467156
4.1047,0.012106033,0.037265972,0.952914625,-0.300696538,0.952914625,-0.300696538,0.011474599,0.037465232
4.1048,0.012106313,0.037263702,0.952911519,-0.300706651,0.952911519,-0.300706651,0.011473844,0.037463296
4.1049,0.012106591,0.037261419,0.952908409,-0.300716775,0.952908409,-0.300716775,0.011473083,0.037461349
4.105,0.012106869,0.037259123,0.952905297,-0.300726911,0.952905297,-0.300726911,0.011472317,0.03745939
4.1051,0.012107145,0.037256814,0.952902181,-0.300737059,0.952902181,-0.300737059,0.011471546,0.037457419
4.1052,0.01210742,0.037254492,0.952899062,-0.300747219,0.952899062,-0.300747219,0.011470769,0.037455436
4.1053,0.012107694,0.037252156,0.952895939,-0.300757391,0.952895939,-0.300757391,0.011469987,0.037453442
4.1054,0.012107966,0.037249808,0.952892813,-0.300767575,0.952892813,-0.300767575,0.011469199,0.037451435
4.1055,0.012108237,0.037247446,0.952889684,-0.300777771,0.952889684,-0.300777771,0.011468406,0.037449417
4.1056,0.012108507,0.03724507,0.952886551,-0.30078798,0.952886551,-0.30078798,0.011467607,0.037447386
4.1057,0.012108775,0.037242682,0.952883414,-0.3007982,0.952883414,-0.3007982,0.011466802,0.037445344
4.1058,0.012109043,0.037240279,0.952880274,-0.300808433,0.952880274,-0.300808433,0.011465992,0.037443289
4.1059,0.012109308,0.037237863,0.952877131,-0.300818679,0.952877131,-0.300818679,0.011465176,0.037441222
4.106,0.012109573,0.037235433,0.952873984,-0.300828937,0.952873984,-0.300828937,0.011464355,0.037439143
4.1061,0.012109836,0.037232989,0.952870834,-0.300839208,0.952870834,-0.300839208,0.011463528,0.037437051
4.1062,0.012110098,0.037230531,0.95286768,-0.300849491,0.95286768,-0.300849491,0.011462695,0.037434946
4.1063,0.012110359,0.037228059,0.952864522,-0.300859788,0.952864522,-0.300859788,0.011461856,0.03743283
4.1064,0.012110618,0.037225574,0.952861361,-0.300870097,0.952861361,-0.300870097,0.011461012,0.0374307
4.1065,0.012110876,0.037223073,0.952858196,-0.300880419,0.952858196,-0.300880419,0.011460161,0.037428558
4.1066,0.012111132,0.037220559,0.952855027,-0.300890754,0.952855027,-0.300890754,0.011459305,0.037426403
4.1067,0.012111387,0.037218031,0.952851855,-0.300901102,0.952851855,-0.300901102,0.011458442,0.037424235
4.1068,0.012111641,0.037215487,0.952848679,-0.300911463,0.952848679,-0.300911463,0.011457574,0.037422054
4.1069,0.012111893,0.03721293,0.952845499,-0.300921838,0.952845499,-0.300921838,0.0114567,0.03741986
4.107,0.012112144,0.037210358,0.952842316,-0.300932226,0.952842316,-0.300932226,0.011455819,0.037417653
4.1071,0.012112394,0.037207771,0.952839129,-0.300942627,0.952839129,-0.300942627,0.011454933,0.037415433
4.1072,0.012112642,0.037205169,0.952835938,-0.300953042,0.952835938,-0.300953042,0.01145404,0.037413199
4.1073,0.012112888,0.037202553,0.952832743,-0.30096347,0.952832743,-0.30096347,0.011453141,0.037410953
4.1074,0.012113133,0.037199921,0.952829544,-0.300973912,0.952829544,-0.300973912,0.011452236,0.037408693
4.1075,0.012113377,0.037197275,0.952826341,-0.300984368,0.952826341,-0.300984368,0.011451325,0.037406419
4.1076,0.012113619,0.037194613,0.952823135,-0.300994838,0.952823135,-0.300994838,0.011450408,0.037404132
4.1077,0.01211386,0.037191936,0.952819924,-0.301005322,0.952819924,-0.301005322,0.011449484,0.037401831
4.1078,0.012114099,0.037189244,0.95281671,-0.30101582,0.95281671,-0.30101582,0.011448553,0.037399516
